instance,algorithm,seed,threshold_pct,fe_to_threshold
berlin52,GA,0,15,19000
berlin52,GA,0,10,28000
berlin52,GA,0,5,500000
berlin52,GA,1,15,14000
berlin52,GA,1,10,21000
berlin52,GA,1,5,500000
berlin52,GA,2,15,10000
berlin52,GA,2,10,16000
berlin52,GA,2,5,500000
berlin52,GA,3,15,16000
berlin52,GA,3,10,500000
berlin52,GA,3,5,500000
berlin52,GA,4,15,20000
berlin52,GA,4,10,500000
berlin52,GA,4,5,500000
berlin52,GA,5,15,20000
berlin52,GA,5,10,34000
berlin52,GA,5,5,500000
berlin52,GA,6,15,14000
berlin52,GA,6,10,18000
berlin52,GA,6,5,22000
berlin52,GA,7,15,20000
berlin52,GA,7,10,148000
berlin52,GA,7,5,500000
berlin52,GA,8,15,13000
berlin52,GA,8,10,16000
berlin52,GA,8,5,500000
berlin52,GA,9,15,13000
berlin52,GA,9,10,17000
berlin52,GA,9,5,500000
berlin52,GA,10,15,15000
berlin52,GA,10,10,18000
berlin52,GA,10,5,22000
berlin52,GA,11,15,13000
berlin52,GA,11,10,500000
berlin52,GA,11,5,500000
berlin52,GA,12,15,11000
berlin52,GA,12,10,13000
berlin52,GA,12,5,500000
berlin52,GA,13,15,17000
berlin52,GA,13,10,500000
berlin52,GA,13,5,500000
berlin52,GA,14,15,16000
berlin52,GA,14,10,20000
berlin52,GA,14,5,500000
berlin52,GA,15,15,16000
berlin52,GA,15,10,32000
berlin52,GA,15,5,500000
berlin52,GA,16,15,13000
berlin52,GA,16,10,14000
berlin52,GA,16,5,23000
berlin52,GA,17,15,12000
berlin52,GA,17,10,13000
berlin52,GA,17,5,17000
berlin52,GA,18,15,26000
berlin52,GA,18,10,42000
berlin52,GA,18,5,105000
berlin52,GA,19,15,26000
berlin52,GA,19,10,500000
berlin52,GA,19,5,500000
berlin52,GA,20,15,11000
berlin52,GA,20,10,17000
berlin52,GA,20,5,46000
berlin52,GA,21,15,15000
berlin52,GA,21,10,21000
berlin52,GA,21,5,500000
berlin52,GA,22,15,23000
berlin52,GA,22,10,500000
berlin52,GA,22,5,500000
berlin52,GA,23,15,19000
berlin52,GA,23,10,26000
berlin52,GA,23,5,37000
berlin52,GA,24,15,11000
berlin52,GA,24,10,15000
berlin52,GA,24,5,500000
berlin52,GA,25,15,30000
berlin52,GA,25,10,500000
berlin52,GA,25,5,500000
berlin52,GA,26,15,14000
berlin52,GA,26,10,22000
berlin52,GA,26,5,500000
berlin52,GA,27,15,14000
berlin52,GA,27,10,14000
berlin52,GA,27,5,34000
berlin52,GA,28,15,500000
berlin52,GA,28,10,500000
berlin52,GA,28,5,500000
berlin52,GA,29,15,13000
berlin52,GA,29,10,17000
berlin52,GA,29,5,500000
berlin52,SA,0,15,115000
berlin52,SA,0,10,128000
berlin52,SA,0,5,139000
berlin52,SA,1,15,109000
berlin52,SA,1,10,125000
berlin52,SA,1,5,153000
berlin52,SA,2,15,109000
berlin52,SA,2,10,128000
berlin52,SA,2,5,131000
berlin52,SA,3,15,107000
berlin52,SA,3,10,125000
berlin52,SA,3,5,144000
berlin52,SA,4,15,99000
berlin52,SA,4,10,116000
berlin52,SA,4,5,500000
berlin52,SA,5,15,119000
berlin52,SA,5,10,122000
berlin52,SA,5,5,135000
berlin52,SA,6,15,109000
berlin52,SA,6,10,122000
berlin52,SA,6,5,133000
berlin52,SA,7,15,117000
berlin52,SA,7,10,123000
berlin52,SA,7,5,127000
berlin52,SA,8,15,112000
berlin52,SA,8,10,119000
berlin52,SA,8,5,132000
berlin52,SA,9,15,109000
berlin52,SA,9,10,109000
berlin52,SA,9,5,132000
berlin52,SA,10,15,121000
berlin52,SA,10,10,132000
berlin52,SA,10,5,138000
berlin52,SA,11,15,105000
berlin52,SA,11,10,120000
berlin52,SA,11,5,126000
berlin52,SA,12,15,104000
berlin52,SA,12,10,109000
berlin52,SA,12,5,122000
berlin52,SA,13,15,106000
berlin52,SA,13,10,110000
berlin52,SA,13,5,128000
berlin52,SA,14,15,123000
berlin52,SA,14,10,138000
berlin52,SA,14,5,150000
berlin52,SA,15,15,108000
berlin52,SA,15,10,114000
berlin52,SA,15,5,139000
berlin52,SA,16,15,104000
berlin52,SA,16,10,105000
berlin52,SA,16,5,121000
berlin52,SA,17,15,114000
berlin52,SA,17,10,115000
berlin52,SA,17,5,124000
berlin52,SA,18,15,114000
berlin52,SA,18,10,126000
berlin52,SA,18,5,131000
berlin52,SA,19,15,114000
berlin52,SA,19,10,117000
berlin52,SA,19,5,154000
berlin52,SA,20,15,109000
berlin52,SA,20,10,119000
berlin52,SA,20,5,133000
berlin52,SA,21,15,110000
berlin52,SA,21,10,113000
berlin52,SA,21,5,129000
berlin52,SA,22,15,99000
berlin52,SA,22,10,112000
berlin52,SA,22,5,134000
berlin52,SA,23,15,100000
berlin52,SA,23,10,123000
berlin52,SA,23,5,140000
berlin52,SA,24,15,121000
berlin52,SA,24,10,129000
berlin52,SA,24,5,130000
berlin52,SA,25,15,111000
berlin52,SA,25,10,111000
berlin52,SA,25,5,118000
berlin52,SA,26,15,113000
berlin52,SA,26,10,124000
berlin52,SA,26,5,128000
berlin52,SA,27,15,116000
berlin52,SA,27,10,119000
berlin52,SA,27,5,120000
berlin52,SA,28,15,109000
berlin52,SA,28,10,119000
berlin52,SA,28,5,128000
berlin52,SA,29,15,116000
berlin52,SA,29,10,118000
berlin52,SA,29,5,137000
pr76,GA,0,15,31000
pr76,GA,0,10,44000
pr76,GA,0,5,58000
pr76,GA,1,15,37000
pr76,GA,1,10,750000
pr76,GA,1,5,750000
pr76,GA,2,15,30000
pr76,GA,2,10,38000
pr76,GA,2,5,54000
pr76,GA,3,15,38000
pr76,GA,3,10,69000
pr76,GA,3,5,750000
pr76,GA,4,15,35000
pr76,GA,4,10,41000
pr76,GA,4,5,45000
pr76,GA,5,15,39000
pr76,GA,5,10,48000
pr76,GA,5,5,750000
pr76,GA,6,15,24000
pr76,GA,6,10,28000
pr76,GA,6,5,33000
pr76,GA,7,15,58000
pr76,GA,7,10,750000
pr76,GA,7,5,750000
pr76,GA,8,15,37000
pr76,GA,8,10,52000
pr76,GA,8,5,750000
pr76,GA,9,15,27000
pr76,GA,9,10,31000
pr76,GA,9,5,58000
pr76,GA,10,15,31000
pr76,GA,10,10,43000
pr76,GA,10,5,750000
pr76,GA,11,15,40000
pr76,GA,11,10,47000
pr76,GA,11,5,750000
pr76,GA,12,15,31000
pr76,GA,12,10,34000
pr76,GA,12,5,750000
pr76,GA,13,15,44000
pr76,GA,13,10,62000
pr76,GA,13,5,750000
pr76,GA,14,15,45000
pr76,GA,14,10,58000
pr76,GA,14,5,750000
pr76,GA,15,15,56000
pr76,GA,15,10,63000
pr76,GA,15,5,750000
pr76,GA,16,15,37000
pr76,GA,16,10,39000
pr76,GA,16,5,750000
pr76,GA,17,15,30000
pr76,GA,17,10,38000
pr76,GA,17,5,750000
pr76,GA,18,15,38000
pr76,GA,18,10,60000
pr76,GA,18,5,750000
pr76,GA,19,15,31000
pr76,GA,19,10,37000
pr76,GA,19,5,750000
pr76,GA,20,15,30000
pr76,GA,20,10,41000
pr76,GA,20,5,750000
pr76,GA,21,15,26000
pr76,GA,21,10,30000
pr76,GA,21,5,34000
pr76,GA,22,15,40000
pr76,GA,22,10,49000
pr76,GA,22,5,57000
pr76,GA,23,15,27000
pr76,GA,23,10,36000
pr76,GA,23,5,43000
pr76,GA,24,15,41000
pr76,GA,24,10,44000
pr76,GA,24,5,750000
pr76,GA,25,15,37000
pr76,GA,25,10,750000
pr76,GA,25,5,750000
pr76,GA,26,15,30000
pr76,GA,26,10,34000
pr76,GA,26,5,48000
pr76,GA,27,15,41000
pr76,GA,27,10,44000
pr76,GA,27,5,58000
pr76,GA,28,15,32000
pr76,GA,28,10,36000
pr76,GA,28,5,42000
pr76,GA,29,15,34000
pr76,GA,29,10,45000
pr76,GA,29,5,750000
pr76,SA,0,15,171000
pr76,SA,0,10,174000
pr76,SA,0,5,184000
pr76,SA,1,15,153000
pr76,SA,1,10,154000
pr76,SA,1,5,176000
pr76,SA,2,15,164000
pr76,SA,2,10,167000
pr76,SA,2,5,185000
pr76,SA,3,15,163000
pr76,SA,3,10,172000
pr76,SA,3,5,197000
pr76,SA,4,15,145000
pr76,SA,4,10,151000
pr76,SA,4,5,165000
pr76,SA,5,15,161000
pr76,SA,5,10,183000
pr76,SA,5,5,209000
pr76,SA,6,15,159000
pr76,SA,6,10,160000
pr76,SA,6,5,168000
pr76,SA,7,15,150000
pr76,SA,7,10,167000
pr76,SA,7,5,184000
pr76,SA,8,15,154000
pr76,SA,8,10,159000
pr76,SA,8,5,181000
pr76,SA,9,15,158000
pr76,SA,9,10,165000
pr76,SA,9,5,176000
pr76,SA,10,15,147000
pr76,SA,10,10,148000
pr76,SA,10,5,178000
pr76,SA,11,15,154000
pr76,SA,11,10,163000
pr76,SA,11,5,175000
pr76,SA,12,15,158000
pr76,SA,12,10,168000
pr76,SA,12,5,172000
pr76,SA,13,15,173000
pr76,SA,13,10,174000
pr76,SA,13,5,196000
pr76,SA,14,15,153000
pr76,SA,14,10,156000
pr76,SA,14,5,177000
pr76,SA,15,15,155000
pr76,SA,15,10,164000
pr76,SA,15,5,174000
